trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.11018311023500528}",20,4,-39.35094792102949,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.10467395472325501}",20,3,21.76027028944742,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.09944025698709225}",20,0,17.434211856833638,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.09446824413773763}",25,7,31.855459760240983,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.08974483193085075}",20,0,-54.44603191844883,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.0852575903343082}",20,7,-0.49052450616915033,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.0809947108175928}",20,2,20.93152162339486,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.07694497527671315}",30,18,20.359581416592793,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.07309772651287749}",25,11,23.768001474045775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.06944284018723361}",20,5,14.240312183761617,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.06597069817787193}",30,5,40.071570652268136,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.06267216326897833}",20,1,-1.0096211890067381,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.05953855510552941}",20,11,10.255926293636387,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.056561627350252934}",20,13,13.889707016211055,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.053733545982740286}",25,13,21.250113633263346,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.051046868683603266}",25,8,32.63131303389736,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.048494525249423104}",25,13,24.260233512044294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.046069798986951946}",25,12,19.765354981400478,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.043766309037604346}",20,6,25.194185216091803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.04157799358572413}",20,0,18.287723128529745,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.03949909390643792}",25,16,11.794690049288853,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.03752413921111602}",25,0,25.25251862973713,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.03564793225056022}",35,18,29.629871796088867,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.033865535638032206}",20,8,16.72602364742102,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.03217225885613059}",20,9,19.294248675609637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.030563645913324063}",30,3,36.150308807066516,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.02903546361765786}",20,11,16.280510089139923,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.027583690436774964}",20,13,10.933535492974261,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
